SetPoint;Chamber;Ref;DUT
17.01.2021 18:40:05;0;-0,002;1,66000000000003;2,4375
17.01.2021 18:40:09;0;-0,002;1,62;2,375
17.01.2021 18:40:12;0;-0,002;1,60000000000002;2,3125
17.01.2021 18:40:16;0;-0,002;1,57999999999998;2,25
17.01.2021 18:40:20;0;-0,002;1,52999999999997;2,25
17.01.2021 18:40:24;0;-0,002;1,49000000000001;2,1875
17.01.2021 18:40:28;0;-0,002;1,45999999999998;2,1875
17.01.2021 18:40:32;0;-0,002;1,44;2,125
17.01.2021 18:40:36;0;-0,001;1,41000000000003;2,125
17.01.2021 18:40:39;0;-0,002;1,38;2,0625
17.01.2021 18:40:43;0;-0,002;1,35000000000002;2
17.01.2021 18:40:47;0;-0,002;1,32999999999998;2
17.01.2021 18:40:51;0;-0,001;1,30000000000001;1,9375
17.01.2021 18:40:55;0;-0,001;1,27999999999997;1,9375
17.01.2021 18:40:59;0;-0,001;1,25999999999999;1,875
17.01.2021 18:41:03;0;-0,002;1,23000000000002;1,875
17.01.2021 18:41:06;0;-0,001;1,20999999999998;1,8125
17.01.2021 18:41:10;0;-0,001;1,18000000000001;1,8125
17.01.2021 18:41:14;0;-0,001;1,16000000000003;1,75
17.01.2021 18:41:18;0;-0,001;1,13;1,75
17.01.2021 18:41:22;0;-0,001;1,11000000000001;1,6875
17.01.2021 18:41:26;0;-0,001;1,08999999999997;1,6875
17.01.2021 18:41:29;0;-0,001;1,06999999999999;1,625
17.01.2021 18:41:33;0;-0,001;1,05000000000001;1,625
17.01.2021 18:41:37;0;-0,001;1,02999999999997;1,625
17.01.2021 18:41:41;0;-0,001;1,00999999999999;1,5625
17.01.2021 18:41:45;0;-0,001;0,990000000000009;1,5
17.01.2021 18:41:49;0;-0,001;0,970000000000027;1,5
17.01.2021 18:41:53;0;-0,001;0,95999999999998;1,5
17.01.2021 18:41:56;0;-0,001;0,930000000000007;1,4375
17.01.2021 18:42:00;0;-0,001;0,910000000000025;1,4375
17.01.2021 18:42:04;0;-0,001;0,889999999999986;1,375
17.01.2021 18:42:08;0;-0,001;0,870000000000005;1,375
17.01.2021 18:42:12;0;-0,001;0,860000000000014;1,375
17.01.2021 18:42:16;0;-0,001;0,839999999999975;1,3125
17.01.2021 18:42:20;0;-0,001;0,819999999999993;1,3125
17.01.2021 18:42:23;0;-0,001;0,810000000000002;1,3125
17.01.2021 18:42:27;0;-0,001;0,79000000000002;1,25
17.01.2021 18:42:31;0;-0,001;0,769999999999982;1,25
17.01.2021 18:42:35;0;-0,001;0,759999999999991;1,25
17.01.2021 18:42:39;0;-0,001;0,740000000000009;1,1875
17.01.2021 18:42:43;0;-0,001;0,720000000000027;1,1875
17.01.2021 18:42:46;0;-0,001;0,699999999999989;1,125
17.01.2021 18:42:50;0;-0,001;0,689999999999998;1,125
17.01.2021 18:42:54;0;-0,001;0,680000000000007;1,125
17.01.2021 18:42:58;0;-0,001;0,660000000000025;1,0625
17.01.2021 18:43:02;0;-0,001;0,649999999999977;1,0625
17.01.2021 18:43:06;0;-0,001;0,639999999999986;1,0625
17.01.2021 18:43:10;0;-0,001;0,620000000000005;1
17.01.2021 18:43:13;0;-0,001;0,610000000000014;1
17.01.2021 18:43:17;0;-0,001;0,610000000000014;1
17.01.2021 18:43:21;0;-0,001;0,600000000000023;1
17.01.2021 18:43:25;0;-0,001;0,579999999999984;0,9375
17.01.2021 18:43:29;0;-0,001;0,569999999999993;0,9375
17.01.2021 18:43:33;0;-0,001;0,560000000000002;0,9375
17.01.2021 18:43:36;0;-0,001;0,550000000000011;0,9375
17.01.2021 18:43:40;0;-0,001;0,54000000000002;0,875
17.01.2021 18:43:44;0;-0,001;0,529999999999973;0,875
17.01.2021 18:43:48;0;-0,001;0,519999999999982;0,875
17.01.2021 18:43:52;0;-0,001;0,509999999999991;0,875
17.01.2021 18:43:56;0;-0,001;0,5;0,8125
17.01.2021 18:43:59;0;-0,001;0,490000000000009;0,8125
17.01.2021 18:44:03;0;-0,001;0,480000000000018;0,8125
17.01.2021 18:44:07;0;-0,001;0,470000000000027;0,8125
17.01.2021 18:44:11;0;-0,001;0,45999999999998;0,75
17.01.2021 18:44:15;0;-0,001;0,449999999999989;0,75
17.01.2021 18:44:19;0;-0,001;0,439999999999998;0,75
17.01.2021 18:44:22;0;-0,001;0,430000000000007;0,75
17.01.2021 18:44:26;0;-0,001;0,420000000000016;0,6875
17.01.2021 18:44:30;0;-0,001;0,410000000000025;0,6875
